Players,Team,Type,Sold,Age
Srikar Bharat,-,BAT,Unsold,
Alex Carey,-,BAT,Unsold,
Donovan Ferreira,DC,BAT,0.75,Age
Shai Hope,-,BAT,Unsold,
Josh Inglis,PBKS,BAT,2.6,
Ryan Rickelton,MI,BAT,1,19
Deepak Chahar,MI,BOWL,9.25,22
Gerald Coetzee,GT,BOWL,2.4,24
Akash Deep,LSG,BOWL,8,25
Tushar Deshpande,RR,BOWL,6.5,30
Lockie Ferguson,PBKS,BOWL,2,22
Bhuvneshwar Kumar,RCB,BOWL,10.75,28
Mukesh Kumar,DC,BOWL,8,24
AM Ghazanfar,MI,BOWL,4.8,28
Akeal Hosein,-,BOWL,Unsold,20
Keshav Maharaj,-,BOWL,Unsold,26
Mujeeb Ur Rahman,-,BOWL,Unsold,28
Adil Rashid,-,BOWL,Unsold,24
Vijayakanth Viyaskanth,-,BOWL,Unsold,25
Ricky Bhui,-,BAT,TBA,25
Swastik Chikara,RCB,BAT,0.3,25
Aarya Desai,-,BAT,TBA,26
Shubham Dubey,RR,BAT,0.8,26
Madhav Kaushik,-,BAT,Unsold,25
Pukhraj Mann,-,BAT,Unsold,25
Shaik Rasheed,CSK,BAT,0.3,25
Himmat Singh,LSG,BAT,0.3,25
Mayank Dagar,-,AR,Unsold,21
Anshul Kamboj,CSK,AR,3.4,30
Arshad Khan,GT,AR,1.3,35
Darshan Nalkande,DC,AR,0.3,35
Suyash Prabhudessai,-,AR,TBA,26
Anukul Roy,KKR,AR,0.4,32
Swapnil Singh,RCB,AR,0.5,34
Sanvir Singh,-,AR,TBA,30
Aravelly Avanish,-,BAT,Unsold,37
Vansh Bedi,CSK,BAT,0.55,29
Saurav Chauhan,-,BAT,TBA,29
Harvik Desai,-,BAT,Unsold,26
Tom Kohler-Cadmore,-,BAT,TBA,25
Kunal Singh Rathore,RR,BAT,0.3,28
BR Sharath,-,BAT,TBA,30
Gurnoor Brar,GT,BOWL,1.3,26
Mukesh Choudhary,CSK,BOWL,0.3,33
Sakib Hussain,-,BOWL,Unsold,24
Vidwath Kaverappa,-,BOWL,Unsold,30
Rajan Kumar,-,BOWL,Unsold,30
Sushant Mishra,-,BOWL,TBA,34
Arjun Tendulkar,MI,BOWL,0.3,27
Zeeshan Ansari,SRH,BOWL,0.4,30
Prince Choudhary,-,BOWL,Unsold,29
Himanshu Sharma,-,BOWL,TBA,29
Manimaran Siddharth,LSG,BOWL,0.75,25
Digvesh Singh,LSG,BOWL,0.3,29
Prashant Solanki,-,BOWL,Unsold,36
Jhathavedh Subramanyan,-,BOWL,Unsold,30
Finn Allen,-,BAT,Unsold,25
Dewald Brevis,-,BAT,Unsold,33
Ben Duckett,-,BAT,Unsold,37
Manish Pandey,KKR,BAT,0.75,22
Rilee Rossouw,-,BAT,TBA,26
Sherfane Rutherford,GT,BAT,2.6,23
Ashton Turner,-,BAT,TBA,23
James Vince,-,BAT,TBA,35
Shahbaz Ahmed,LSG,AR,2.4,35
Moeen Ali,KKR,AR,2,36
Tim David,RCB,AR,3,24
Deepak Hooda,CSK,AR,1.7,22
Will Jacks,MI,AR,5.25,21
Azmatullah Omarzai,PBKS,AR,2.4,24
Sai Kishore,GT,AR,2,18
Romario Shepherd,RCB,AR,1.5,
Tom Banton,-,BAT,TBA,
Sam Billings,-,BAT,TBA,
Jordan Cox,-,BAT,TBA,
Ben McDermott,-,BAT,TBA,Age
Kusal Mendis,-,BAT,TBA,
Kusal Perera,-,BAT,TBA,
Josh Philippe,-,BAT,Unsold,23
Tim Seifert,-,BAT,TBA,33
Nandre Burger,-,BOWL,TBA,27
Spencer Johnson,KKR,BOWL,2.8,35
Umran Malik,KKR,BOWL,0.75,22
Mustafizur Rahman,-,BOWL,Unsold,26
Ishant Sharma,GT,BOWL,0.75,20
Nuwan Thushara,RCB,BOWL,1.6,28
Naveen-ul-Haq,-,BOWL,Unsold,29
Jaydev Unadkat,SRH,BOWL,1,28
Umesh Yadav,-,BOWL,Unsold,31
Rishad Hossain,-,BOWL,Unsold,24
Zahir Khan,-,BOWL,TBA,22
Nqabayomzi Peter,-,BOWL,TBA,26
Tanveer Sangha,-,BOWL,TBA,19
Tabraiz Shamsi,-,BOWL,TBA,25
Jeffrey Vandersay,-,BOWL,TBA,29
Sachin Baby,SRH,BAT,0.3,24
Priyam Garg,-,BAT,TBA,23
Harnoor Singh,PBKS,BAT,0.3,26
R Smaran,-,BAT,TBA,26
Shashwat Rawat,-,BAT,TBA,22
C Andre Siddarth,CSK,BAT,0.3,26
Avneesh Sudha,-,BAT,TBA,31
Apoorv Wankhade,-,BAT,TBA,34
Yudhvir Singh,RR,AR,0.35,21
Rishi Dhawan,-,AR,Unsold,30
Rajvardhan Hangargekar,LSG,AR,0.3,23
Tanush Kotian,-,AR,Unsold,31
Arshin Kulkarni,LSG,AR,0.3,21
Shams Mulani,-,AR,TBA,20
Shivam Singh,-,AR,Unsold,23
Lalit Yadav,-,AR,TBA,26
Mohammed Azharuddeen,-,BAT,TBA,30
LR Chethan,-,BAT,Unsold,30
Aryaman Singh,-,BAT,TBA,33
Urvil Patel,-,BAT,TBA,26
Sanskar Rawat,-,BAT,TBA,33
Bipin Saurabh,-,BAT,TBA,35
Tanay Thyagarajan,-,BAT,TBA,27
Money Grewal,-,BOWL,TBA,30
Ashwani Kumar,MI,BOWL,0.3,36
Ishan Porel,-,BOWL,TBA,40
Abhilash Shetty,-,BOWL,TBA,33
Akash Singh,LSG,BOWL,0.3,38
Gurjapneet Singh,CSK,BOWL,2.2,33
Basil Thampi,-,BOWL,TBA,35
Murugan Ashwin,-,BOWL,Unsold,36
Shreyas Chavan,-,BOWL,TBA,30
Chintal Gandhi,-,BOWL,TBA,37
Raghav Goyal,-,BOWL,Unsold,33
Jagadeesha Suchith,-,BOWL,TBA,27
Roshan Waghsare,-,BOWL,TBA,27
Bailapudi Yeswanth,-,BOWL,Unsold,24
Sediqullah Atal,-,BAT,TBA,37
Matthew Breetzke,LSG,BAT,0.75,33
Mark Chapman,-,BAT,TBA,28
Brandon King,-,BAT,Unsold,18
Evin Lewis,-,BAT,TBA,28
Pathum Nissanka,-,BAT,Unsold,31
Bhanuka Rajapaksa,-,BAT,TBA,31
Steven Smith,-,BAT,Unsold,29
Gus Atkinson,-,AR,Unsold,20
Tom Curran,-,AR,TBA,30
Krishnappa Gowtham,-,AR,TBA,29
Mohammad Nabi,-,AR,TBA,26
Gulbadin Naib,-,AR,TBA,
Sikandar Raza,-,AR,Unsold,
Mitchell Santner,MI,AR,2,
Jayant Yadav,GT,AR,0.75,
Johnson Charles,-,BAT,TBA,Age
Litton Das,-,BAT,TBA,
Andre Fletcher,-,BAT,TBA,
Tom Latham,-,BAT,Unsold,21
Ollie Pope,-,BAT,TBA,21
Kyle Verreynne,-,BAT,TBA,22
Fazalhaq Farooqi,RR,BOWL,2,27
Richard Gleeson,-,BOWL,Unsold,23
Matt Henry,-,BOWL,TBA,26
Alzarri Joseph,-,BOWL,Unsold,31
Kwena Maphaka,RR,BOWL,1.5,29
Kuldeep Sen,PBKS,BOWL,0.8,30
Reece Topley,MI,BOWL,0.75,20
Lizaad Williams,MI,BOWL,0.75,22
Luke Wood,-,BOWL,Unsold,26
Sachin Dhas,-,BAT,Unsold,22
Leus du Plooy,-,BAT,Unsold,20
Ashwin Hebbar,-,BAT,TBA,22
Rohan  Kunnummal,-,BAT,TBA,29
Ayush Pandey,-,BAT,TBA,28
Akshat Raghuwanshi,-,BAT,TBA,26
Shoun Roger,-,BAT,TBA,32
Virat Singh,-,BAT,TBA,31
Priyansh Arya,PBKS,AR,3.8,22
Manoj Bhandage,RCB,AR,0.3,22
Praveen Dubey,PBKS,AR,0.3,27
Ajay Mandal,DC,AR,0.3,20
Prerak Mankad,-,AR,TBA,28
Vipraj Nigam,DC,AR,0.5,27
Vicky Ostwal,-,AR,TBA,31
Shivalik Sharma,-,AR,Unsold,28
Salil Arora,-,BAT,TBA,26
Dinesh Bana,-,BAT,TBA,30
Guruswamy Ajitesh,-,BAT,TBA,20
Narayan Jagadeesan,-,BAT,TBA,26
Krishnan Shrijith,MI,BAT,0.3,21
Michael Pepper,-,BAT,TBA,24
Vishnu Solanki,-,BAT,TBA,24
KM Asif,-,BOWL,TBA,25
Akhil Chaudhary,-,BOWL,TBA,36
Himanshu Chauhan,-,BOWL,TBA,32
Arpit Guleria,-,BOWL,Unsold,32
Saranu Nishanth,-,BOWL,TBA,24
Kuldip Yadav,-,BOWL,TBA,33
Prithvi Raj,-,BOWL,TBA,21
Shubham Agarwal,-,BOWL,TBA,29
Jasinder Singh,-,BOWL,TBA,26
Jasmer Dhankhar,-,BOWL,TBA,27
Pulkit Narang,-,BOWL,TBA,32
Saumy Pandey,-,BOWL,TBA,26
Mohit Rathee,RCB,BOWL,0.3,29
